,Text,Label
0,"About AI
AI is artificial Intelligence. It is making computers Intelligent and capable of
making logical decisions from facts provided to us just as humans. It is the
concept of making Computers similar to humans.Just the concept of
making computers as smart  as humans may sound like science fiction but
it is essentially what makes it so interesting.
Here we will be discussing the concepts such as supervised learning,
unsupervised learning and reinforcement learning. This is the future and is
as revolutionary as electricity.
",1
1,"About AI
AI stands of Artificial Intelligence it comprises of many learning concepts
from Machine Learning, Deep learning, and many more it has many models
and learning methods ranging from supervised learning to unsupervised
learning to reinforcement learning and furthermore it is the future and it can
be used essentially for anything and learning of any human behaviours.
Moving on we can teach alot of things to computers and this concepts of
making computers teachable is the concept of AI and this is fundamentally
same as teaching kids about anything
",1
2,"About AI
AI is the future as stated by Richest man in the world Elon Musk. AI is a
revolutionary piece of technology capable of processing complex structures
of logic and having a chain of thoughts. It is the process of making
machines capable of learning and understanding behaviors.
Teaching students and making AI models is somewhat similar as the
fundamental of both of them is making sure the party understands it.
",1
3,"About AI
Artificial Intelligence is the future of mankind; it gives us all things needed
for humans to thrive. AI is as big as Electricity was back in the day. It is
revolutionary tech and comprises Machine Learning, Deep Learning, and
many mother subbranches.
AI has plagued the society from being able to classify document, recognize
faces and also be able to understand human language to human behavior.
It is capable of learning everything from humans
",1
4,"ABOUT AI 
Artificial intelligence is the simulation of human intelligence processes by 
machines, especially computer systems. Specific applications of AI 
include expert systems, natural language processing, speech recognition 
and machine vision. 
How does AI work? 
As the hype around AI has accelerated, vendors have been scrambling to 
promote how their products and services use AI. Often what they refer to as 
AI is simply one component of AI, such as machine learning. AI requires a 
foundation of specialized hardware and software for writing and training 
machine learning algorithms. No one programming language is 
synonymous with AI, but a few, including Python, R and Java, are popular. 
In general, AI systems work by ingesting large amounts of labeled training 
data, analyzing the data for correlations and patterns, and using these 
patterns to make predictions about future states. In this way, a chatbot that 
is fed examples of text chats can learn to produce lifelike exchanges with 
people, or an image recognition tool can learn to identify and describe 
objects in images by reviewing millions of examples. 
AI programming focuses on three cognitive skills: learning, reasoning and 
self-correction. 
Learning processes. This aspect of AI programming focuses on acquiring 
data and creating rules for how to turn the data into actionable 
information. The rules, which are called algorithms, provide computing 
devices with step-by-step instructions for how to complete a specific task. 
Within artificial intelligence (AI) and machine learning, there are two basic 
approaches: supervised learning and unsupervised learning. The main 
difference is one uses labeled data to help predict outcomes, while the 
other does not. However, there are some nuances between the two 
approaches, and key areas in which one outperforms the other. This post 
will clarify the differences so you can choose the best approach for your 
situation. 
What is supervised learning? 
Supervised learning is a machine learning approach that’s defined by its use 
of labeled datasets. These datasets are designed to train or “supervise” 
algorithms into classifying data or predicting outcomes accurately. Using 
labeled inputs and outputs, the model can measure its accuracy and learn 
over time. 
Supervised learning can be separated into two types of problems 
when data mining: classification and regression: 
• Classification problems use an algorithm to accurately assign test 
data into specific categories, such as separating apples from oranges. 
Or, in the real world, supervised learning algorithms can be used to 
classify spam in a separate folder from your inbox. Linear classifiers, 
support vector machines, decision trees and random forest are all 
common types of classification algorithms. 
• Regression is another type of supervised learning method that uses 
an algorithm to understand the relationship between dependent and 
independent variables. Regression models are helpful for predicting 
numerical values based on different data points, such as sales revenue 
projections for a given business. Some popular regression algorithms 
are linear regression, logistic regression and polynomial regression. 
What is unsupervised learning? 
Unsupervised learning uses machine learning algorithms to analyze and 
cluster unlabeled data sets. These algorithms discover hidden patterns in 
data without the need for human intervention (hence, they are 
“unsupervised”). 
Unsupervised learning models are used for three main tasks: clustering, 
association and dimensionality reduction: 
• Clustering is a data mining technique for grouping unlabeled data 
based on their similarities or differences. For example, K-means 
clustering algorithms assign similar data points into groups, where 
the K value represents the size of the grouping and granularity. This 
technique is helpful for market segmentation, image compression, 
etc. 
• Association is another type of unsupervised learning method that 
uses different rules to find relationships between variables in a given 
dataset. These methods are frequently used for market basket 
analysis and recommendation engines, along the lines of “Customers 
Who Bought This Item Also Bought” recommendations. 
• Dimensionality reduction is a learning technique used when the 
number of features  (or dimensions) in a given dataset is too high. It 
reduces the number of data inputs to a manageable size while also 
preserving the data integrity. Often, this technique is used in the 
preprocessing data stage, such as when autoencoders remove noise 
from visual data to improve picture quality. 
The main difference between supervised and unsupervised learning: 
Labeled data 
The main distinction between the two approaches is the use of labeled 
datasets. To put it simply, supervised learning uses labeled input and 
output data, while an unsupervised learning algorithm does not. 
In supervised learning, the algorithm “learns” from the training dataset by 
iteratively making predictions on the data and adjusting for the correct 
answer. While supervised learning models tend to be more accurate than 
unsupervised learning models, they require upfront human intervention to 
label the data appropriately. For example, a supervised learning model can 
predict how long your commute will be based on the time of day, weather 
conditions and so on. But first, you’ll have to train it to know that rainy 
weather extends the driving time. 
Unsupervised learning models, in contrast, work on their own to discover 
the inherent structure of unlabeled data. Note that they still require some 
human intervention for validating output variables. For example, an 
unsupervised learning model can identify that online shoppers often 
purchase groups of products at the same time. However, a data analyst 
would need to validate that it makes sense for a recommendation engine to 
group baby clothes with an order of diapers, applesauce and sippy cups. 
Other key differences between supervised and unsupervised learning 
• Goals: In supervised learning, the goal is to predict outcomes for new 
data. You know up front the type of results to expect. With an 
unsupervised learning algorithm, the goal is to get insights from large 
volumes of new data. The machine learning itself determines what is 
different or interesting from the dataset. 
• Applications: Supervised learning models are ideal for spam 
detection, sentiment analysis, weather forecasting and pricing 
predictions, among other things. In contrast, unsupervised learning is 
a great fit for anomaly detection, recommendation engines, customer 
personas and medical imaging. 
• Complexity: Supervised learning is a simple method for machine 
learning, typically calculated through the use of programs like R or 
Python. In unsupervised learning, you need powerful tools for 
working with large amounts of unclassified data. Unsupervised 
learning models are computationally complex because they need a 
large training set to produce intended outcomes. 
• Drawbacks: Supervised learning models can be time-consuming to 
train, and the labels for input and output variables require expertise. 
Meanwhile, unsupervised learning methods can have wildly 
inaccurate results unless you have human intervention to validate the 
output variables. 
 
 
Terms 
Algorithm A formula or set of rules (or procedure, processes, or 
instructions) for solving a problem or for performing a task. In Artificial 
Intelligence, the algorithm tells the machine how to find answers to a 
question or solutions to a problem. In machine learning, systems use many 
different types of algorithms. Common examples include decision trees, 
clustering algorithms, classification algorithms, or regression algorithms. 
Artificial Neuron An artificial neuron is a digital construct that seeks to 
simulate the behavior of a biological neuron in the brain. Artificial neurons 
are typically used to make up an artificial neural network—these 
technologies are modeled after human brain activity 
Backpropagation Backpropagation, also called “backward propagation of 
errors,” is an approach that is commonly used in the training process of the 
deep neural network to reduce errors. It allows the machine learning 
algorithm to adjust itself according to looking at its past function. It 
involves the calculation of errors between prediction and the target values, 
the computation of the gradient of the error function, and then the update 
of the weigh 
Data Data is a collection of qualitative and quantitative variables. It contains 
the information that is represented numerically and needs to be analyzed.  
Data Cleaning Data Cleaning is the process of identifying, correcting, or 
removing inaccurate or corrupt data records. 
Learning Learning is the process of acquiring new or modifying existing 
knowledge, behaviors, skills, values, or preferences. The ability to learn is 
possessed by humans, animals, and some machines, and there is also 
evidence for some kind of learning in some plants. Some learning is 
immediate, induced by a single event but much skill and knowledge 
accumulates from repeated experiences. 
Natural Language Processing Natural language processing (NLP) is a 
method to translate between computer and human languages. 
Traditionally, feeding statistics and models have been the method of choice 
for interpreting phrases. Recent advances in this area include voice 
recognition software, human language translation, information retrieval, 
and artificial intelligence. There is difficulty in developing human language 
translation software because language is constantly changing. Natural 
language processing is also being developed to create human readable text 
and to translate between one human language and another. Already 
existing reports associated with radiology images can be used to learn 
about disease and conditions and the ultimate goal of NLP is to build 
software that will analyze, understand, and generate human languages 
naturally, enabling communication with a computer as if it were a human.  
Neural networks Also known as artificial neural network, neural net, deep 
neural net; a computer system inspired by living brains. Neural networks 
found to perform best in ImageNet data challenges were convolutional 
neural networks (CNNs). This name comes from the mathematical concept 
of convolution, which is similar to the CNN convolutional operation wherein 
filters are applied to an image in fixed spatial regions and are swept across, 
or integrated, over the entire image. The resulting activations can then be 
aggregated in pooling operations, 
 
Frameworks of AI 
Tensor Flow 
Hailing from the Google family, Tensor Flow proves to be a robust open-
source framework that supports deep learning and which can be accessed 
even from a mobile device. 
Tensor flow is considered an apt tool for statistic program development. As 
it offers distributed training, machine models can be trained a lot more 
effectively at any level of abstraction that the user prefers. 
Features 
• A scalable multi programming interface for easy programming 
• Strong growth drivers, with a strong open source community 
• Provides extensive and well-documented manuals for people 
Pros 
• The language used by tensor flow is Python, which is very popular 
nowadays. 
• This framework is capable of high computational power. Hence, it can 
be used on any CPU or GPU. 
• Uses computational graph abstraction to create machine models 
Cons 
• To make a decision or prediction, the framework passes the input 
data through multiple nodes. This can be time-consuming. 
• It also lacks many of the pre-trained models of AI. 
Check out this Udemy course if interested in learning Tensor Flow. 
Microsoft CNTK 
 
Microsoft CNTK is a faster and more versatile open-source framework that 
is based on neural networks that support text, message, and voice 
remodeling. 
It provides an efficient scaling environment due to a faster overall 
evaluation of the machine models while taking care of accuracy. 
Microsoft CNTK has integrations with major massive datasets, making it the 
leading choice to be adopted by big players like Skype, Cortana, etc., with a 
very expressive easy-to-use architecture as well. 
Features 
• Highly optimized to provide efficiency, scalability, speed, and high-
level integrations 
• Has built-in components such as hyperparameter tuning, supervised 
learning models, reinforcement, CNN, RNN, etc. 
• Resources are utilized to provide the best efficiency. 
• Own networks that can be expressed efficiently such as full APIs, both 
high level and low level 
Pros 
• As it supports Python and C++, this framework can work with 
multiple servers at once and hence makes the learning process 
quicker. 
• It has been developed keeping in mind the recent developments in 
the world of AI. Microsft CNTK’s architecture supports GAN, RNN, and 
CNN. 
• It permits distributed training to train machine models effectively. 
Cons 
• It lacks a visualization board and mobile ARM support. 
Caffe 
 
Caffe is a deep learning network that comes along with the preloaded set 
of trained neural networks. This should be your first pick if your deadline is 
close. 
Known for its image processing capabilities, this framework also has 
extended support of MATLAB. 
Features 
• All of its models are written in plaintext schemas 
• It offers massive speed and highly efficient work since it is already 
preloaded. 
• An active open source community for discussion and collaborative 
code. 
Pros 
• Interlinking C, C++, and Python, it also supports the modeling of 
CNN(convolutional neural networks) 
• Efficient when computing numerical tasks due to its speed. 
Cons 
• Caffe is not capable of handling complex data but is comparatively 
fast while handling the visual processing of images. 
Theano 
 
Using GPUs in place of CPU, this framework supports deep learning 
research and is capable of delivering accuracy for networks that need high 
computational power. For instance, the computation of multi-dimensional 
arrays requires high power, and Theano is capable of that. 
Theano is based on python, which is a proven programming language 
when it comes to faster processing and response. 
Features 
• Evaluation of expressions is faster due to dynamic code generation 
• It provides an excellent accuracy ratio, even when values are minimal. 
• Unit testing is a significant feature of Theano, as it allows the user to 
self-verify their code as well as to detect and diagnose errors easily. 
Pros 
• Theano offers efficient support for all the data-intensive applications 
but requires combining with other libraries. 
• It is efficiently optimized for the CPU as well as the GPU. 
Cons 
• There will be no more updates or addition of features to the current 
version of Theano. 
 Amazon machine learning 
 
Being a trending entrant to the AI community, Amazon machine 
learning offers high-end support in the development of self-learning tools. 
This framework already has existing user base in its multiple services like 
AWS, S3, and Amazon Redshift. This is a managed service by Amazon, with 
three operations performed on the model, which are data analysis, training 
of the model, and evaluation. 
Features 
• There are tailored Tools for every level of experience in the AWS even 
if you are a beginner, data scientist, or developer 
• Security is of utmost importance, so all data is encrypted 
• Provides extensive tools for data analysis and comprehension 
• Integrations with all major datasets 
Pros 
• You don’t need to write a lot of code with this framework. Instead, it 
lets you interact with the AI-powered framework via APIs. 
• Commonly used by data scientists, developers, and ML researchers. 
Cons 
• It lacks flexibility as the entire framework is abstracted, so if you’d like 
to choose a particular normalization or machine learning algorithm, 
you can’t. 
• It also lacks data visualization. 
Torch 
 
The Torch is an open-source framework that could support numerical 
operations. It offers numerous algorithms for the faster development of 
deep learning networks. 
It is used extensively in the AI labs of Facebook and Twitter. There is a 
python based framework known as PyTorch, which has proven to be 
simpler and more reliable. 
Features 
• Features a lot of routines to index, slice, transpose with an N-
dimensional array model 
• Optimization routines are present, primarily numeric based with 
neural network models 
• GPU support is highly efficient 
• Integrates easily with the iOS and Andriod 
Pros 
• Very high flexibility regarding languages and integrations 
• High level of speed and GPU utilization efficiency 
• Pre-existing models are available to train the data on. 
Cons 
• Documentation is not very clear to the users, so it presents a steeper 
learning curve 
• Lack of code for immediate use, so it takes time. 
• It is initially based on a programming language called Lua, and not 
many are aware of it. 
 
",1
5,"About AI  
 
Artificial intelligence is the intelligence possessed and demonstrated by machines.  AI is the simulation 
of human intelligence in machines that are programmed to think like humans and mimic their actions. AI 
can also be applied to any machine that displays the traits applied to human mind such as learning and 
problem solving.  AI is the ability of the machines to perform certain tasks that require intelligence when 
done by humans and animals. A computer is said to have AI if it can think humanly, act humanly, think 
rationally and act rationally. The term AI was first coined by Marvin Minsky and John McCarthy in 1950s 
who are known as fathers of AI. AI is a large field which composes of machine learning and deep 
learning. The most common applications of AI are robots, voice assistants, chat bots, recommendation 
systems, prediction systems, classification systems, search engines, games etc. 
Machine Learning 
Machine learning is one of the most promising approaches to AI. It allows system to perform certain 
tasks by learning from past data instead of being explicitly programmed. In ML, A computer program is 
said to learn from experience E with respect to some class of tasks T and performance measure P if it 
performs tasks in T, as measured by P and improves with E. Components of Machine learning includes 
Data, model, learning and application. 
Types of Machine Learning: 
1) Supervised Machine Learning 
In supervised learning, you pass the samples containing the input features and their desired 
outputs to the machine learning model for training. The model then learns a mapping from the 
input features to the desired output. You aim to produce an accurate enough mapping so that 
the algorithm can predict the output as correctly as possible whenever a new test input is given. 
As the desired output passed during the training supervises the model to learn the required 
mapping, this learning method is called supervised learning 
 
2) Unsupervised Machine Learning: 
As opposed to supervised learning, in unsupervised learning, you pass the samples containing 
only the input features to the machine learning model. The model then extracts different useful 
features and patterns from the data. As the desired output is no longer supervising the learning 
process, this learning method is called unsupervised learning. 
 
3) Reinforcement Learning: 
Reinforcement Learning is the type of machine learning where the machine learns on its own 
using observations gathered from the interaction with its environment to take actions that 
would maximize the reward or minimize the risk. 
",1
6,"About AI 
Artificial Intelligence (AI) is the process of making machine intelligent and capable to do works 
humans do. It is a technique in which a machine becomes intelligent after experience at some 
work. It is a booming field in present time as it can be used to automate works humans do. 
Supervised Learning is a technique in AI in which the data is labelled and the data is either done 
classification or regression task.  The model is trained until it can detect the underlying patterns 
and relationships between the input data and the output labels, enabling it to yield accurate 
labeling results when presented with never-before-seen data. Supervised learning is good at 
classification and regression problems, such as determining what category a news article 
belongs to or predicting the volume of sales for a given future date. In supervised learning, the 
aim is to make sense of data within the context of a specific question. 
In contrast to supervised learning is unsupervised learning. In this approach, the algorithm is 
presented with unlabeled data and is designed to detect patterns or similarities on its own. It 
can be done by different clustering algorithms. 
The chief difference between unsupervised and supervised learning is in how the algorithm 
learns. In unsupervised learning, the algorithm is given unlabeled data as a training set. Unlike 
in supervised learning, there are no correct output values; the algorithm determines the 
patterns and similarities within the data, as opposed to relating it to some external 
measurement. In other words, algorithms are able to function freely in order to learn more 
about the data and find interesting or unexpected findings that human beings weren't looking 
for. Unsupervised learning is popular in applications of clustering (the act of uncovering groups 
within data) and association (the act of predicting rules that describe the data). 
Terms in AI: 
Artificial Intelligence, Data Science, NLP, clustering, regression, classification, algorithm, labels, 
row, column, features, keras, matplotlib, TensorFlow. 
AI Frameworks: 
• 
Tensor Flow. 
Hailing from the Google family, Tensor Flow proves to be a robust open-source 
framework that supports deep learning and which can be accessed even from a mobile 
device. 
Tensor flow is considered an apt tool for statistic program development. As it offers 
distributed training, machine models can be trained a lot more effectively at any level of 
abstraction that the user prefers. 
Features 
• 
A scalable multi programming interface for easy programming 
• 
Strong growth drivers, with a strong open-source community 
• 
Provides extensive and well-documented manuals for people 
Pros 
• 
The language used by tensor flow is Python, which is very popular nowadays. 
• 
This framework is capable of high computational power. Hence, it can be used on any 
CPU or GPU. 
• 
Uses computational graph abstraction to create machine models 
Cons 
• 
To make a decision or prediction, the framework passes the input data through multiple 
nodes. This can be time-consuming. 
• 
It also lacks many of the pre-trained models of AI. 
 
• 
Microsoft CNTK. 
Microsoft CNTK is a faster and more versatile open-source framework that is based on 
neural networks that support text, message, and voice remodeling. 
It provides an efficient scaling environment due to a faster overall evaluation of the 
machine models while taking care of accuracy. 
Microsoft CNTK has integrations with major massive datasets, making it the leading 
choice to be adopted by big players like Skype, Cortana, etc., with a very expressive 
easy-to-use architecture as well. 
Features 
• 
Highly optimized to provide efficiency, scalability, speed, and high-level integrations 
• 
Has built-in components such as hyperparameter tuning, supervised learning models, 
reinforcement, CNN, RNN, etc. 
• 
Resources are utilized to provide the best efficiency. 
• 
Own networks that can be expressed efficiently such as full APIs, both high level and low 
level 
Pros 
• 
As it supports Python and C++, this framework can work with multiple servers at once 
and hence makes the learning process quicker. 
• 
It has been developed keeping in mind the recent developments in the world of AI. 
Microsoft CNTK’s architecture supports GAN, RNN, and CNN. 
• 
It permits distributed training to train machine models effectively. 
Cons 
• 
It lacks a visualization board and mobile ARM support. 
 
• 
Caffe. 
Caffe is a deep learning network that comes along with the preloaded set of trained 
neural networks. This should be your first pick if your deadline is close. 
Known for its image processing capabilities, this framework also has extended support 
of MATLAB. 
Features 
• 
All of its models are written in plaintext schemas 
• 
It offers massive speed and highly efficient work since it is already preloaded. 
• 
An active open-source community for discussion and collaborative code. 
Pros 
• 
Interlinking C, C++, and Python, it also supports the modeling of CNN(convolutional 
neural networks) 
• 
Efficient when computing numerical tasks due to its speed. 
Cons 
• 
Caffe is not capable of handling complex data but is comparatively fast while handling 
the visual processing of images. 
 
• 
Theano. 
• 
Amazon machine learning. 
• 
Torch. 
• 
Accord.Net. 
• 
Apache Mahout. 
 
 
 
 
",1
7,"About AI
Artiﬁcial intelligence is a conglomeration of concepts and technologies that
means different things to different people – self-driving cars, robots that
impersonate humans, machine learning, and more – and its applications are
everywhere you look. An AI is a computer system that is able to perform tasks
that ordinarily require human intelligence. These artiﬁcial intelligence
systems are powered by machine learning. Many of them are powered by
machine learning, some of them are speciﬁcally powered by deep learning,
some of them are powered by very boring things like just rules. The effects of
AI will be magniﬁed in the coming decade, as manufacturing, retailing,
transportation, ﬁnance, healthcare, law, advertising, insurance, entertainment,
education, and virtually every other industry transform their core processes
and business models to take advantage of machine learning.
Supervised learning involves machine learning algorithms that learn under
the presence of a supervisor. Learning under supervision directly translates to
being under guidance and learning from an entity that is in charge of
providing feedback through this process. Unsupervised learning is commonly
used for ﬁnding meaningful patterns and groupings inherent in data,
extracting generative features, and for exploratory purposes.
AI frameworks provide data scientists, AI developers, and researchers the
building blocks to architect, train, validate, and deploy models, through a
high-level programming interface.the CAHAI (Ad hoc Committee on Artiﬁcial
Intelligence) has explored the reasons as to why a legal framework on the
development, design and application of AI, based on Council of Europe’s
standards on human rights, democracy and the rule of law is needed.
",1
8,"AboutAI
Pratirodh Resistance
June 2022
1
About AI
1.1
What is AI
Artificial intelligence (AI) is a wide-ranging branch of computer science con-
cerned with building smart machines capable of performing tasks that typically
require human intelligence.
Examples of AI are
1. Siri,Alexa
2. Self driving cars
3. Conversational Bots
4. Netflix’s recommendation
1.2
Supervised Learning
Supervised learning, as the name indicates, has the presence of a supervisor as
a teacher. Basically supervised learning is when we teach or train the machine
using data that is well labelled.
Which means some data is already tagged
with the correct answer. After that, the machine is provided with a new set of
examples(data) so that the supervised learning algorithm analyses the training
data(set of training examples) and produces a correct outcome from labelled
data.
Some examples of supervised learning algorithms
1. Linear regression
2. Logistic regression
3. Support vector machine
1
1.3
Unsupervised Learning
Unsupervised Learning is a machine learning technique in which the users do
not need to supervise the model.
Instead, it allows the model to work on
its own to discover patterns and information that was previously undetected.
It mainly deals with the unlabelled data. Unsupervised Learning Algorithms
allow users to perform more complex processing tasks compared to supervised
learning. Although, unsupervised learning can be more unpredictable compared
with other natural learning methods. Unsupervised learning algorithms include
clustering, anomaly detection, neural networks, etc.
1.4
Technologies related to AI
1. Natural Language generation
2. Speech recognition
3. Robotic process automation
4. Machine learning platforms
5. Deep learning platforms
6. Virtual agents
1.5
Frameworks for AI
1. Tensorflow
2. Caffe
3. Theano
4. Tourch
5. Accord.Net
6. Spark MLib
2
",1
9,"About AI: 
Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to the natural 
intelligence displayed by animals including humans. AI research has been defined as the field of study 
of intelligent agents, which refers to any system that perceives its environment and takes actions that 
maximize its chance of achieving its goals. The term ""artificial intelligence"" had previously been used to 
describe machines that mimic and display ""human"" cognitive skills that are associated with the human 
mind, such as ""learning"" and ""problem-solving"". This definition has since been rejected by major AI 
researchers who now describe AI in terms of rationality and acting rationally, which does not limit how 
intelligence can be articulated. 
Supervised learning, as the name indicates, has the presence of a supervisor as a teacher. 
Basically supervised learning is when we teach or train the machine using data that is well labelled. 
Which means some data is already tagged with the correct answer. After that, the machine is provided 
with a new set of examples(data) so that the supervised learning algorithm analyses the training data(set 
of training examples) and produces a correct outcome from labelled data. Unsupervised learning is the 
training of a machine using information that is neither classified nor labeled and allowing the algorithm 
to act on that information without guidance. Here the task of the machine is to group unsorted 
information according to similarities, patterns, and differences without any prior training of data. 
Reinforcement learning differs from supervised learning in not needing labelled input/output pairs be 
presented, and in not needing sub-optimal actions to be explicitly corrected. Instead the focus is on 
finding a balance between exploration (of uncharted territory) and exploitation (of current knowledge). 
Machine learning is how AI technology learns and gets smarter on its own.In machine learning, a human 
trains a machine to achieve an outcome, using data prepared by the human. Using what it learned from the 
human, the machine then goes and tries to achieve the outcome using data it's never seen before. Every 
time the machine tries to achieve the outcome, it learns from the results—even if they're bad. And it 
applies these learnings to its next attempt. In this way, the machine uses machine learning to rapidly 
improve at a task without direct human involvement. Pattern recognition is when machines detect pattens 
in data. These patterns help machines better optimize towards outcomes, which makes pattern recognition 
a key function in machine learning. Pattern recognition is also what powers AI's predictive capabilities. A 
machine uses patterns in historical data to predict which future outcomes are most likely. Natural 
language generation is when AI writes or speaks human-sounding language. Natural language 
generation powers everything from writing tools to smart home assistants to chatbots. It makes it possible 
to converse with machines. Natural language processing is when AI interprets what human language 
means. To do NLG, a machine must use natural language processing to first understand written or spoken 
language. For instance, Google Translate uses NLP to understand the text you type, then generate its 
translation in whatever language you select. 
 
 
Image recognition is when AI accurately identifies objects in photos. Using machine learning, AI 
systems can identify objects in images with a high degree of accuracy. The AI system is trained on 
millions or billions of images to detect certain objects. Trained well, it can then go and recognize those 
objects in images it hasn't seen before. One example of image recognition used today is in radiology. AI 
is able to identify certain tumors with a high degree of accuracy better, faster, and cheaper than humans. 
 
 
AI frameworks provide data scientists, AI developers, and researchers the building blocks to 
architect, train, validate, and deploy models, through a high-level programming interface. Hailing from 
the Google family, Tensor Flow proves to be a robust open-source framework that supports deep learning 
and which can be accessed even from a mobile device. Microsoft CNTK is a faster and more versatile 
open-source framework that is based on neural networks that support text, message, and voice 
remodeling. It provides an efficient scaling environment due to a faster overall evaluation of the machine 
models while taking care of accuracy. Caffe is a deep learning network that comes along with the 
preloaded set of trained neural networks. This should be your first pick if your deadline is close. Known 
for its image processing capabilities, this framework also has extended support of MATLAB. Using 
GPUs in place of CPU, this framework supports deep learning research and is capable of delivering 
accuracy for networks that need high computational power. For instance, the computation of multi-
dimensional arrays requires high power, and Theano is capable of that. Theano is based on python, which 
is a proven programming language when it comes to faster processing and response. 
 
 
 
 
 
 
 
 
 
",1
